species,gene
Homo sapiens,NR3C1
Homo sapiens,NTM
Mus musculus,Nap1l4
Mus musculus,Nap1l5
Mus musculus,Nctc1
Mus musculus,Ndn
Mus musculus,Nespas
Mus musculus,Nlrp2
Mus musculus,Nnat
Bos taurus,OOEP
Sus scrofa,OSBPL1A
Homo sapiens,OSBPL5
Homo sapiens,PARD6G-AS1
Homo sapiens,PARD6G
Equus caballus,PEG10
Homo sapiens,PEG10
Bos taurus,PEG10
Sus scrofa,PEG10
Homo sapiens,PEG13
Homo sapiens,PEG3-AS1
Equus caballus,PEG3
Ovis aries,PEG3
Sus scrofa,PEG3
Macaca fascicularis,PEG3
Bos taurus,PEG3
Homo sapiens,PEG3
Sus scrofa,PGM2L1
Equus caballus,PHLDA2
Sus scrofa,PHLDA2
Ovis aries,PHLDA2
Bos taurus,PHLDA2
Homo sapiens,PHLDA2
Ovis aries,PLAGL1
Macaca fascicularis,PLAGL1
Homo sapiens,PLAGL1
Bos taurus,PLAGL1
Sus scrofa,PLAGL1
Bos taurus,PMM2
Bos taurus,PON1
Sus scrofa,PON2
Ovis aries,PON3
Bos taurus,PON3
Sus scrofa,PPP1R9A
Ovis aries,PPP1R9A
Bos taurus,PPP1R9A
Homo sapiens,PPP1R9A
Macropus eugenii,PRKACB
Homo sapiens,PRR25
Homo sapiens,PTPRN2
Homo sapiens,PWAR6
Homo sapiens,PWCR1
Homo sapiens,PXDC1
Mus musculus,Pde10a
Rattus norvegicus,Peg10
Mus musculus,Peg10
Mus musculus,Peg12
Mus musculus,Peg13
Rattus norvegicus,Peg3
Mus musculus,Peg3
Mus musculus,Peg3os
Mus musculus,Phlda2
Mus musculus,Plagl1
Mus musculus,Platr20
Rattus norvegicus,Pomt1
Mus musculus,Pon2
Mus musculus,Pon3
Mus musculus,Ppp1r9a
Mus musculus,Prkn
Mus musculus,Pwcr1
Mus musculus,Qpct
Sus scrofa,RASGRF1
Homo sapiens,RASGRF1
Homo sapiens,RB1
Homo sapiens,RBP5
Bos taurus,RDH16
Homo sapiens,RHOBTB3
Homo sapiens,RNU5D-1
Ovis aries,RTL1
Homo sapiens,RTL1
Bos taurus,RTL1
Monodelphis domestica,RWDD2A
Rattus norvegicus,Rasgrf1
Mus musculus,Rasgrf1
Mus musculus,Rhox5
Rattus norvegicus,Rian
Mus musculus,Rian
Rattus norvegicus,Rpl39l1
Rattus norvegicus,Rtl1
Mus musculus,Rtl1
Equus caballus,SGCE
Sus scrofa,SGCE
Bos taurus,SGCE
Homo sapiens,SGCE
Sus scrofa,SGIP1
Homo sapiens,SGK2
Macaca fascicularis,SGK2
Ovis aries,SLC22A18
Homo sapiens,SLC22A18
Homo sapiens,SLC22A18AS
Homo sapiens,SLC22A2*
Homo sapiens,SLC22A3*
Sus scrofa,SLC38A4
Homo sapiens,SMOC1
Homo sapiens,SNORD107
Homo sapiens,SNORD108
Homo sapiens,SNORD109A
Homo sapiens,SNORD109B
Homo sapiens,SNORD113-1
Homo sapiens,SNORD114-1
Homo sapiens,SNORD115-48
Homo sapiens,SNORD115@
Homo sapiens,SNORD116
Homo sapiens,SNORD64
Sus scrofa,SNRPN
Macaca fascicularis,SNRPN
Equus caballus,SNRPN
Homo sapiens,SNRPN
Bos taurus,SNRPN
Homo sapiens,SNURF
Homo sapiens,ST8SIA1
Homo sapiens,SVOPL
Rattus norvegicus,Sall1
Mus musculus,Sall1
Rattus norvegicus,Sfmbt2
Mus musculus,Sfmbt2
Mus musculus,Sgce
Rattus norvegicus,Sgce
Mus musculus,Slc22a18
Mus musculus,Slc22a2
Mus musculus,Slc22a3
Rattus norvegicus,Slc38a1
Rattus norvegicus,Slc38a4
Mus musculus,Slc38a4
Mus musculus,Smoc1
Mus musculus,Smoc2
Mus musculus,Snrpn
Rattus norvegicus,Snrpn
Mus musculus,Snurf
Mus musculus,Snx14
Rattus norvegicus,Spp1
Rattus norvegicus,Syt16
Sus scrofa,TACC2
Homo sapiens,TCEB3C
Sus scrofa,TFPI2
Bos taurus,TFPI2
Homo sapiens,TFPI2
Sus scrofa,THRB
Homo sapiens,TP73
Bos taurus,TSSC4
Rattus norvegicus,Tbx3
Mus musculus,Tfpi2
Mus musculus,Th
Mus musculus,Thbs2
Rattus norvegicus,Tmem30b
Rattus norvegicus,Tmem67
Mus musculus,Tnfrsf22
Mus musculus,Tnfrsf23
Mus musculus,Tnfrsf26
Mus musculus,Trappc9
Rattus norvegicus,Trpm5
Mus musculus,Tsix
Rattus norvegicus,Tssc4
Mus musculus,Tssc4
Mus musculus,U2af1-rs1
Macaca fascicularis,UBE3A
Homo sapiens,UBE3A
Macaca fascicularis,USP29
Bos taurus,USP29
Mus musculus,Ube3a
Rattus norvegicus,Ube3d
Mus musculus,Usp29
Homo sapiens,VIM
Homo sapiens,VTRNA2-1
Ovis aries,WARS1
Homo sapiens,WT1-AS
Homo sapiens,WT1
Rattus norvegicus,Wasf3
Rattus norvegicus,Wdr27
Mus musculus,Xist
Mus musculus,Xlr3b
Homo sapiens,ZC3H12C
Homo sapiens,ZDBF2
Bos taurus,ZDHHC7
Homo sapiens,ZFAT-AS1
Homo sapiens,ZFAT
Monodelphis domestica,ZFP68
Homo sapiens,ZFP90
Homo sapiens,ZIM2
Bos taurus,ZIM2
Macaca fascicularis,ZIM3
Homo sapiens,ZNF396
Bos taurus,ZNF597
Homo sapiens,ZNF597
Sus scrofa,ZNF709
Mus musculus,Zcchc13
Rattus norvegicus,Zdbf2
Mus musculus,Zdbf2
Mus musculus,Zfp127as
Mus musculus,Zfp264
Rattus norvegicus,Zfp516
